[2018-11-24 21:08:03,780]: Pygame parameters:
 

[2018-11-24 21:09:40,733]: Pygame parameters:
%s 

[2018-11-24 21:09:40,734]: FPS: 60
%s 

[2018-11-24 21:10:40,601]: ----Pygame parameters----%s 

[2018-11-24 21:10:40,601]: FPS: 60%s 

[2018-11-24 21:10:40,602]: RESOLUTION: (1280, 720)%s 

[2018-11-24 21:23:28,261]: ----Pygame parameters---- 

[2018-11-24 21:24:44,967]: ----Pygame parameters---- 

[2018-11-24 21:24:44,968]: FPS: 60 

[2018-11-24 21:24:44,968]: RESOLUTION: (1280, 720) 

[2018-11-24 21:26:53,586]: ----Pygame parameters---- 

[2018-11-24 21:26:53,586]: FPS: 60 

[2018-11-24 21:26:53,586]: RESOLUTION: (1280, 720) 

[2018-11-24 21:27:21,608]: ----Pygame parameters---- 

[2018-11-24 21:27:21,608]: FPS: 60 
[2018-11-24 21:27:23,887]: Received event <Event(4-MouseMotion {pos: (767, 89), rel: (0, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,895]: Received event <Event(4-MouseMotion {pos: (767, 87), rel: (0, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,903]: Received event <Event(4-MouseMotion {pos: (768, 84), rel: (1, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,911]: Received event <Event(4-MouseMotion {pos: (769, 81), rel: (1, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,919]: Received event <Event(4-MouseMotion {pos: (769, 78), rel: (0, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,927]: Received event <Event(4-MouseMotion {pos: (770, 75), rel: (1, -3), buttons: (0, 0, 0)})>" 

